client_id,age,region,income,debt,transactions_monthly,mobile_payments,default
0c83b5a0-760f-4da8-9935-a3c44a06118e,56,Andijan,4963323.86673258,6280690.745172789,509248.2616991792,3,0
cc9c4110-7767-4ee3-b095-ac9539a4d041,46,Bukhara,4765179.399310261,9092136.883560278,3465617.505278754,2,0
c91e67c1-7be6-459b-9bb5-e3cf53abdffc,32,Samarkand,4782766.690123315,3011962.7240829878,5133126.076520104,3,0
5531ea24-6956-43fb-9757-81f17fbe7ce2,60,Andijan,4767858.379759033,6888798.801658494,2623738.5919438694,2,0
46ec3399-d1d9-4efc-8606-30cc10d9beed,25,Samarkand,6746132.1326642,1796126.479043086,1528836.6172433966,2,1
c61ed617-fb2c-4124-9927-b559793fc2a6,38,Fergana,6217968.89298487,1197932.1551144074,3677412.9847324793,3,0
c0443131-dfb8-490c-847d-4ddbb08a2372,56,Fergana,5837823.222745573,1037050.7773399428,4743832.264184004,4,1
a624529a-7805-4594-a204-9a64d8ef8b7d,36,Fergana,1000000.0,2222636.477377275,3529373.5697152354,0,0
342e860d-2ca8-4e38-8097-c5ec241d1883,40,Andijan,5599589.748326328,182695.90368766602,4724700.054166511,0,0
a0157afb-0768-4bdb-925b-d863db2ae761,28,Fergana,1688721.2796598352,1663340.2721894972,3793668.5456257127,3,0
40d0ac78-14c6-454b-8117-56a1565a18a8,28,Bukhara,6292640.326271651,5280966.522057763,3706850.9856776926,1,0
17f99af9-a3fe-41f7-bd77-6399523d268d,41,Bukhara,7948994.73514103,5219470.750833026,2481999.3172578877,3,0
e8a4ca18-4f5a-44cd-819d-18d2f307eade,53,Andijan,3147521.774822898,381996.549737244,3285406.890753217,0,0
894ab5d8-1433-4467-8541-316f7cf8ed30,57,Samarkand,4476438.5553145865,1694284.7084215812,2970529.0432822234,5,0
39905eb2-089f-4103-a718-189b0fda2646,41,Tashkent,3801288.589894006,4214709.561173442,2936264.279433348,3,0
586c1755-518d-4fb2-a6f8-f643bc3b0091,20,Samarkand,7470863.551513601,1917677.6740595123,2746134.8720489326,5,0
46ae5da8-c03b-4902-894a-1387b7ef9bfb,39,Samarkand,5190055.770544146,2706321.2723366995,3225613.467458554,5,0
48ab4a62-0ed2-4ae8-8fc2-73c63eb99907,19,Samarkand,8456658.761132667,6238069.488239917,1703655.0158632738,5,0
acb9586c-a980-49f0-a219-2cc450b73982,41,Samarkand,5827508.405894775,46550.16819192313,3811718.3992815744,4,0
39ac47db-5b23-4fa8-9998-15f06399431f,61,Tashkent,5484900.361271638,1617538.017833108,2122254.7072198037,0,1
c37881ef-c694-4284-b3ff-d49981ee9edb,47,Fergana,5136413.565205673,767925.6209992416,2749728.774995292,0,0
c04ac361-567c-461e-a582-c1097013b865,55,Samarkand,6635984.198514674,682588.8528745323,3330559.893035165,0,1
b319d44d-1d56-41f7-b22d-6d41b03aac80,19,Bukhara,1524627.6035093134,15975822.913107319,2072726.581604488,4,0
eefc26b1-e739-4574-8ab3-9a271de7f5c8,38,Andijan,5170687.9110410195,2362516.4063714114,1033536.9376947472,0,0
f7984c14-d215-4558-b6ea-4a11f6043dbc,50,Andijan,4859907.11254407,3744235.9556846805,2616953.322302493,1,0
89310437-b61f-4eef-b076-88b940d13c11,29,Bukhara,6450837.654315532,6617947.983991123,1568902.5074163,0,0
e2a4c396-5e4a-4987-aa74-54e7978971f4,39,Samarkand,4624596.788251926,243050.14498899484,3712310.9326704703,3,0
06fa73d3-1575-4d77-8e6f-37b04cba337c,61,Tashkent,2922531.13167466,1378916.6442653628,1846496.4274578742,1,0
d918b87b-a644-4c44-a01d-705dbeab3233,42,Fergana,5014701.349839399,8923356.866499452,4485155.563709162,2,0
8211478d-fa33-4a82-9030-702ae22e412b,44,Andijan,2834318.942263313,9902167.878440406,2994207.110764775,0,0
21085eaa-7a3e-4e72-af94-94f1d54fc3c4,59,Fergana,1149475.5748250294,2333652.32461356,3059174.194594229,2,0
4e6cc072-16f3-4977-9caa-f0549e430e4a,45,Tashkent,6454244.962970986,2348911.06601453,1019368.671455336,2,0
effcdcea-6977-476e-a63c-beaee919af34,33,Andijan,6158123.145389341,7071347.758126299,3144862.6288505234,4,0
880629fd-5b49-4f57-b6a4-1628d5a89f0e,32,Fergana,5934181.887987149,1748285.4677133802,2919820.0831267466,3,0
5193a84f-d48a-4c0d-9439-076a0356f4d5,64,Tashkent,7605856.8438916225,622683.1560607217,1700910.9650745303,5,0
01e89a9b-4e58-47f1-bc61-927753a891d8,61,Fergana,3669936.2193921497,1488900.7693842312,3087268.3387968084,3,1
7f98dd7d-7d9a-4452-aee4-758c2105b15e,20,Samarkand,2137771.71445749,2449764.346593139,2602076.989192576,2,0
